,part_id,word,property,score,reaction_time,slider_order
169,6503088.0,computer,movement,3.0,32125.0,1
170,6503088.0,computer,replication,23.0,32125.0,1
171,6503088.0,computer,freewill,4.0,32125.0,1
172,6503088.0,computer,energy,97.0,32125.0,1
173,6503088.0,computer,communication,97.0,32125.0,1
174,6503088.0,computer,goal_setting,18.0,32125.0,1
175,6503088.0,computer,complexity,97.0,32125.0,1
176,6503088.0,computer,monitoring,72.0,32125.0,1
177,6503088.0,computer,reaction,63.0,32125.0,1
178,6503088.0,computer,variety,95.0,32125.0,1
179,6503088.0,computer,mistakes,43.0,32125.0,1
180,6503088.0,computer,learning,43.0,32125.0,1
181,6503088.0,computer,goal_directedness,70.0,32125.0,1
182,6503088.0,robot_vacuum_cleaner,agency,41.0,34172.0,1
183,6503088.0,robot_vacuum_cleaner,movement,97.0,34172.0,1
184,6503088.0,robot_vacuum_cleaner,replication,3.0,34172.0,1
185,6503088.0,robot_vacuum_cleaner,freewill,1.0,34172.0,1
186,6503088.0,robot_vacuum_cleaner,energy,97.0,34172.0,1
187,6503088.0,robot_vacuum_cleaner,communication,50.0,34172.0,1
188,6503088.0,robot_vacuum_cleaner,goal_setting,1.0,34172.0,1
189,6503088.0,robot_vacuum_cleaner,complexity,97.0,34172.0,1
190,6503088.0,robot_vacuum_cleaner,monitoring,34.0,34172.0,1
191,6503088.0,robot_vacuum_cleaner,reaction,37.0,34172.0,1
192,6503088.0,robot_vacuum_cleaner,variety,21.0,34172.0,1
193,6503088.0,robot_vacuum_cleaner,mistakes,48.0,34172.0,1
194,6503088.0,robot_vacuum_cleaner,learning,33.0,34172.0,1
195,6503088.0,robot_vacuum_cleaner,goal_directedness,84.0,34172.0,1
196,6503088.0,wristwatch,agency,71.0,31974.0,1
197,6503088.0,wristwatch,movement,2.0,31974.0,1
198,6503088.0,wristwatch,replication,1.0,31974.0,1
199,6503088.0,wristwatch,freewill,2.0,31974.0,1
200,6503088.0,wristwatch,energy,97.0,31974.0,1
201,6503088.0,wristwatch,communication,13.0,31974.0,1
202,6503088.0,wristwatch,goal_setting,3.0,31974.0,1
203,6503088.0,wristwatch,complexity,98.0,31974.0,1
204,6503088.0,wristwatch,monitoring,31.0,31974.0,1
205,6503088.0,wristwatch,reaction,55.0,31974.0,1
206,6503088.0,wristwatch,variety,42.0,31974.0,1
207,6503088.0,wristwatch,mistakes,62.0,31974.0,1
208,6503088.0,wristwatch,learning,17.0,31974.0,1
209,6503088.0,wristwatch,goal_directedness,16.0,31974.0,1
210,6503088.0,dolphin,agency,67.0,27199.0,1
211,6503088.0,dolphin,movement,97.0,27199.0,1
212,6503088.0,dolphin,replication,96.0,27199.0,1
213,6503088.0,dolphin,freewill,92.0,27199.0,1
214,6503088.0,dolphin,energy,97.0,27199.0,1
215,6503088.0,dolphin,communication,55.0,27199.0,1
216,6503088.0,dolphin,goal_setting,44.0,27199.0,1
217,6503088.0,dolphin,complexity,98.0,27199.0,1
218,6503088.0,dolphin,monitoring,66.0,27199.0,1
219,6503088.0,dolphin,reaction,67.0,27199.0,1
220,6503088.0,dolphin,variety,47.0,27199.0,1
221,6503088.0,dolphin,mistakes,99.0,27199.0,1
222,6503088.0,dolphin,learning,98.0,27199.0,1
223,6503088.0,dolphin,goal_directedness,40.0,27199.0,1
224,6503088.0,autonomous_car,agency,57.0,28633.0,1
225,6503088.0,autonomous_car,movement,63.0,28633.0,1
226,6503088.0,autonomous_car,replication,4.0,28633.0,1
227,6503088.0,autonomous_car,freewill,14.0,28633.0,1
228,6503088.0,autonomous_car,energy,96.0,28633.0,1
229,6503088.0,autonomous_car,communication,57.0,28633.0,1
230,6503088.0,autonomous_car,goal_setting,26.0,28633.0,1
231,6503088.0,autonomous_car,complexity,99.0,28633.0,1
232,6503088.0,autonomous_car,monitoring,42.0,28633.0,1
233,6503088.0,autonomous_car,reaction,42.0,28633.0,1
234,6503088.0,autonomous_car,variety,61.0,28633.0,1
235,6503088.0,autonomous_car,mistakes,26.0,28633.0,1
236,6503088.0,autonomous_car,learning,29.0,28633.0,1
237,6503088.0,autonomous_car,goal_directedness,22.0,28633.0,1
238,6503088.0,hammer,agency,18.0,28539.0,1
239,6503088.0,hammer,movement,2.0,28539.0,1
240,6503088.0,hammer,replication,3.0,28539.0,1
241,6503088.0,hammer,freewill,3.0,28539.0,1
242,6503088.0,hammer,energy,2.0,28539.0,1
243,6503088.0,hammer,communication,3.0,28539.0,1
244,6503088.0,hammer,goal_setting,3.0,28539.0,1
245,6503088.0,hammer,complexity,22.0,28539.0,1
246,6503088.0,hammer,monitoring,3.0,28539.0,1
247,6503088.0,hammer,reaction,3.0,28539.0,1
248,6503088.0,hammer,variety,15.0,28539.0,1
249,6503088.0,hammer,mistakes,2.0,28539.0,1
250,6503088.0,hammer,learning,2.0,28539.0,1
251,6503088.0,hammer,goal_directedness,33.0,28539.0,1
252,6503088.0,robot,agency,68.0,28358.0,1
253,6503088.0,robot,movement,99.0,28358.0,1
254,6503088.0,robot,replication,3.0,28358.0,1
255,6503088.0,robot,freewill,17.0,28358.0,1
256,6503088.0,robot,energy,98.0,28358.0,1
257,6503088.0,robot,communication,79.0,28358.0,1
258,6503088.0,robot,goal_setting,22.0,28358.0,1
259,6503088.0,robot,complexity,98.0,28358.0,1
260,6503088.0,robot,monitoring,66.0,28358.0,1
261,6503088.0,robot,reaction,40.0,28358.0,1
262,6503088.0,robot,variety,41.0,28358.0,1
263,6503088.0,robot,mistakes,49.0,28358.0,1
264,6503088.0,robot,learning,37.0,28358.0,1
265,6503088.0,robot,goal_directedness,36.0,28358.0,1
266,6503088.0,tree,agency,38.0,35295.0,1
267,6503088.0,tree,movement,2.0,35295.0,1
268,6503088.0,tree,replication,78.0,35295.0,1
269,6503088.0,tree,freewill,41.0,35295.0,1
270,6503088.0,tree,energy,1.0,35295.0,1
271,6503088.0,tree,communication,26.0,35295.0,1
272,6503088.0,tree,goal_setting,36.0,35295.0,1
273,6503088.0,tree,complexity,98.0,35295.0,1
274,6503088.0,tree,monitoring,28.0,35295.0,1
275,6503088.0,tree,reaction,100.0,35295.0,1
276,6503088.0,tree,variety,17.0,35295.0,1
277,6503088.0,tree,mistakes,2.0,35295.0,1
278,6503088.0,tree,learning,17.0,35295.0,1
279,6503088.0,tree,goal_directedness,28.0,35295.0,1
280,6503093.0,rock,agency,2.0,72758.5,1
281,6503093.0,rock,movement,2.0,72758.5,1
282,6503093.0,rock,replication,1.0,72758.5,1
283,6503093.0,rock,freewill,1.0,72758.5,1
