,part_id,word,reaction_time,slider_order,energy,complexity,movement,replication,communication,monitoring,reaction,variety,mistakes,learning,goal_setting,freewill,agency,goal_directedness,cluster
88,6503474.0,robot,29760.5,1,92.0,96.0,93.0,1.0,53.0,68.0,72.0,84.0,82.0,80.0,27.0,16.0,22.0,52.0,2.0
89,6503474.0,virtual_assistant,24184.400000035763,1,67.0,44.0,19.0,8.0,37.0,48.0,60.0,26.0,63.0,24.0,25.0,13.0,6.0,23.0,2.0
90,6503474.0,smartphone,25836.80000001192,1,66.0,84.0,4.0,4.0,52.0,16.0,19.0,69.0,83.0,17.0,13.0,4.0,11.0,12.0,2.0
91,6503474.0,computer,26494.79999995232,1,80.0,96.0,4.0,4.0,24.0,15.0,10.0,35.0,74.0,45.0,15.0,8.0,13.0,22.0,2.0
92,6503474.0,jelly_fish,31400.29999995232,1,68.0,47.0,96.0,82.0,16.0,18.0,84.0,78.0,80.0,48.0,17.0,72.0,21.0,20.0,0.0
93,6503474.0,autonomous_car,29477.59999996424,1,63.0,91.0,94.0,7.0,28.0,94.0,92.0,73.0,86.0,77.0,24.0,3.0,21.0,16.0,2.0
94,6503474.0,dolphin,26650.80000001192,1,77.0,42.0,95.0,93.0,93.0,48.0,93.0,73.0,52.0,55.0,33.0,87.0,12.0,16.0,5.0
95,6503474.0,thermostat,30566.10000002384,1,54.0,63.0,5.0,3.0,4.0,8.0,5.0,21.0,54.0,10.0,7.0,3.0,9.0,7.0,3.0
96,6503474.0,robot_vacuum_cleaner,25087.0,1,69.0,79.0,94.0,10.0,6.0,56.0,79.0,48.0,67.0,67.0,14.0,11.0,9.0,13.0,3.0
97,6503474.0,hammer,32468.60000002384,1,47.0,11.0,4.0,6.0,3.0,7.0,5.0,32.0,16.0,9.0,6.0,5.0,9.0,4.0,1.0
98,6503474.0,tree,25341.0,1,61.0,66.0,7.0,45.0,16.0,5.0,78.0,5.0,7.0,100.0,17.0,12.0,10.0,3.0,4.0
99,6503474.0,car,24081.89999997616,1,54.0,89.0,21.0,2.0,5.0,5.0,53.0,4.0,94.0,14.0,18.0,9.0,7.0,5.0,3.0
100,6503085.0,rock,80165.40000003576,2,11.0,63.0,0.0,0.0,2.0,2.0,54.0,16.0,2.0,3.0,1.0,4.0,4.0,4.0,1.0
101,6503085.0,human,75939.30000001192,2,96.0,97.0,99.0,90.0,89.0,79.0,97.0,98.0,97.0,76.0,97.0,76.0,99.0,84.0,5.0
102,6503085.0,computer,55295.39999997616,2,99.0,96.0,6.0,11.0,21.0,27.0,5.0,98.0,77.0,42.0,1.0,1.0,3.0,1.0,2.0
103,6503085.0,robot_vacuum_cleaner,49253.40000003576,2,98.0,71.0,96.0,2.0,1.0,30.0,2.0,9.0,58.0,2.0,3.0,3.0,1.0,2.0,3.0
104,6503085.0,smartphone,56532.69999998808,2,97.0,99.0,2.0,4.0,14.0,0.0,2.0,98.0,69.0,2.0,3.0,3.0,2.0,2.0,2.0
105,6503085.0,biological_virus,46939.19999998808,2,87.0,61.0,47.0,98.0,3.0,2.0,11.0,15.0,3.0,27.0,3.0,1.0,2.0,2.0,4.0
106,6503085.0,virtual_assistant,44190.5,2,98.0,57.0,2.0,2.0,67.0,4.0,3.0,20.0,97.0,2.0,1.0,2.0,3.0,2.0,2.0
107,6503085.0,tree,62416.0,2,96.0,25.0,97.0,97.0,14.0,17.0,96.0,14.0,1.0,2.0,8.0,57.0,41.0,8.0,4.0
