,part_id,word,reaction_time,slider_order,energy,complexity,movement,replication,communication,monitoring,reaction,variety,mistakes,learning,goal_setting,freewill,agency,goal_directedness
1221,7039348.0,rock,55581.69999998808,7,3.0,30.0,1.0,1.0,0.0,2.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1237,7039348.0,hammer,24906.0,7,0.0,9.0,5.0,4.0,3.0,3.0,4.0,3.0,21.0,3.0,5.0,5.0,17.0,48.0
1240,7039361.0,rock,53432.19999992848,7,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1241,7039361.0,human,32203.10000002384,7,100.0,100.0,100.0,100.0,100.0,100.0,57.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1257,7039361.0,hammer,24197.10000002384,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
1260,7039458.0,human,23532.29999999702,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1261,7039458.0,rock,27316.20000000298,7,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1277,7039458.0,hammer,24441.5,7,57.0,16.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
1280,7039252.0,human,98744.19999998808,8,100,68,100,100,100,100,100,100,100,100,100,79,73,100
1281,7039252.0,rock,38097.5,8,12,0,0,2,0,0,12,0,0,0,0,0,0,0
1297,7039252.0,hammer,50876.89999997616,8,26,10,0,0,0,0,0,41,0,0,0,0,0,0
1300,7039269.0,rock,62672.20000004768,8,0,83,0,1,1,0,1,74,1,0,1,0,0,2
1301,7039269.0,human,28695.699999928474,8,99,99,99,98,99,99,99,99,100,100,99,85,74,99
1317,7039269.0,hammer,26578.0,8,13,25,0,0,2,0,0,14,1,0,0,0,0,9
1320,7039286.0,human,29068.699999809265,8,99,100,98,100,100,100,100,99,100,100,100,100,45,100
1321,7039286.0,rock,21247.0,8,2,45,0,0,0,0,47,0,0,0,0,0,1,0
1337,7039286.0,hammer,20416.0,8,0,23,0,0,0,0,0,29,0,0,2,2,0,0
1340,7039295.0,rock,30798.299999999814,8,8,11,0,0,0,0,0,0,0,0,0,0,0,0
1341,7039295.0,human,33500.700000000186,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1357,7039295.0,hammer,20154.899999999907,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,7039301.0,rock,56996.79999995232,8,0,75,0,38,0,0,36,0,0,0,0,0,0,0
1361,7039301.0,human,54519.5,8,62,91,73,100,63,79,83,80,89,100,95,50,52,95
1377,7039301.0,hammer,26329.200000047684,8,80,0,0,0,0,0,9,23,0,0,0,0,0,0
1380,7039308.0,rock,75746.0,8,13,20,3,0,0,0,37,0,1,0,0,1,0,1
1381,7039308.0,human,47649.0,8,100,100,80,66,79,74,78,100,99,100,87,58,28,72
1397,7039308.0,hammer,31931.0,8,16,5,0,0,1,1,1,30,1,1,1,1,1,1
1400,7039305.0,human,97649.59999999964,8,58,41,56,40,57,63,51,61,57,54,55,67,27,62
1401,7039305.0,rock,49105.90000000037,8,0,13,0,0,0,0,7,9,0,0,0,0,0,0
1417,7039305.0,hammer,29345.0,8,100,6,0,0,6,2,56,13,7,4,3,3,1,26
1420,7039313.0,rock,51670.70000004768,8,1,0,0,1,1,0,0,2,1,1,1,1,0,1
1421,7039313.0,human,32136.400000095367,8,98,98,98,98,98,99,98,99,99,98,99,98,99,98
1437,7039313.0,hammer,32811.0,8,1,1,1,1,2,2,1,10,1,2,2,2,1,2
1440,7039318.0,human,71418.40000000596,8,34,63,17,69,69,14,53,71,29,27,38,35,85,64
1441,7039318.0,rock,55740.59999999404,8,37,52,14,55,44,38,40,60,42,20,19,55,18,25
1457,7039318.0,hammer,38607.40000000596,8,51,63,5,80,53,8,85,90,13,5,15,11,10,17
1460,7039317.0,human,32411.60000000894,8,97,86,100,72,79,90,87,89,82,100,84,81,95,87
1461,7039317.0,rock,43207.10000000894,8,2,46,6,3,0,0,23,62,5,1,0,3,37,0
1477,7039317.0,hammer,31457.29999999702,8,32,10,2,27,0,4,10,18,4,2,4,0,12,4
1480,7039306.0,rock,34870.0,8,100,0,0,0,0,0,18,0,0,0,0,0,0,0
1481,7039306.0,human,35162.0,8,12,100,100,100,100,100,100,100,100,100,100,100,88,100
1497,7039306.0,hammer,25383.0,8,100,24,0,0,0,0,0,6,0,0,0,0,0,0
1500,7039342.0,rock,195740.6000000015,8,67,37,0,0,76,3,97,99,0,2,1,1,2,1
1501,7039342.0,human,187803.0,8,98,98,99,98,98,99,97,97,98,98,97,97,55,98
1517,7039342.0,hammer,31313.80000000447,8,35,4,3,2,0,0,15,30,10,3,4,5,2,26
1520,7039333.0,rock,99646.40000009535,8,0,10,0,0,0,0,11,0,0,0,0,0,0,0
1521,7039333.0,human,42601.800000190735,8,100,97,100,97,97,97,96,96,97,95,98,98,98,99
1537,7039333.0,hammer,35177.700000047684,8,99,49,0,3,5,2,5,17,3,2,3,2,1,5
1540,7039385.0,human,41669.40000000596,8,99,99,99,99,97,98,99,98,98,99,98,99,97,97
1541,7039385.0,rock,30194.69999998808,8,66,7,11,12,1,1,40,2,2,2,1,1,2,1
1557,7039385.0,hammer,18128.39999999106,8,0.0,2.0,1.0,2.0,2.0,0.0,0.0,17.0,3.0,3.0,1.0,0.0,1.0,3.0
1560,7039320.0,human,54401.10000000009,8,99.0,99.0,97.0,99.0,99.0,96.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
1561,7039320.0,rock,74384.80000000005,8,4.0,2.0,2.0,2.0,0.0,2.0,2.0,28.0,3.0,2.0,1.0,3.0,2.0,2.0
1577,7039320.0,hammer,25413.800000000047,8,1.0,1.0,3.0,3.0,2.0,4.0,3.0,28.0,2.0,2.0,2.0,2.0,4.0,2.0
1580,7039589.0,human,78239.5,8,95.0,98.0,92.0,86.0,90.0,81.0,85.0,91.0,88.0,90.0,85.0,89.0,82.0,88.0
1581,7039589.0,rock,52064.89999997616,8,0.0,3.0,10.0,0.0,0.0,0.0,26.0,19.0,17.0,1.0,0.0,5.0,1.0,5.0
1597,7039589.0,hammer,58117.69999998808,8,13.0,6.0,4.0,4.0,3.0,5.0,15.0,3.0,4.0,0.0,4.0,5.0,4.0,3.0
