part_id,word,jelly_fish,artificial_intelligence,god,virus,human,chimpanzee,robot,rock,autonomous_car,computer
6305844.0,computer,,,,,,,,,,
6305848.0,jelly_fish,,,,,,,,,,
6305848.0,artificial_intelligence,,,,,,,,,,
6305848.0,god,,,,,,,,,,
6305848.0,virus,,,,,,,,,,
6305848.0,human,,,,,,,,,,
6305848.0,chimpanzee,,,,,,,,,,
6305848.0,robot,,,,,,,,,,
6305848.0,rock,,,,,,,,,,
6305848.0,autonomous_car,,,,,,,,,,
6305848.0,computer,,,,,,,,,,
6305832.0,jelly_fish,,,,,,,,,,
6305832.0,artificial_intelligence,,,,,,,,,,
6305832.0,god,,,,,,,,,,
6305832.0,virus,,,,,,,,,,
6305832.0,human,,,,,,,,,,
6305832.0,chimpanzee,,,,,,,,,,
6305832.0,robot,,,,,,,,,,
6305832.0,rock,,,,,,,,,,
6305832.0,autonomous_car,,,,,,,,,,
6305832.0,computer,,,,,,,,,,
6305853.0,jelly_fish,,,,,,,,,,
6305853.0,artificial_intelligence,,,,,,,,,,
6305853.0,god,,,,,,,,,,
6305853.0,virus,,,,,,,,,,
6305853.0,human,,,,,,,,,,
6305853.0,chimpanzee,,,,,,,,,,
6305853.0,robot,,,,,,,,,,
6305853.0,rock,,,,,,,,,,
6305853.0,autonomous_car,,,,,,,,,,
6305853.0,computer,,,,,,,,,,
6305851.0,jelly_fish,,,,,,,,,,
6305851.0,artificial_intelligence,,,,,,,,,,
6305851.0,god,,,,,,,,,,
6305851.0,virus,,,,,,,,,,
6305851.0,human,,,,,,,,,,
6305851.0,chimpanzee,,,,,,,,,,
6305851.0,robot,,,,,,,,,,
6305851.0,rock,,,,,,,,,,
6305851.0,autonomous_car,,,,,,,,,,
6305851.0,computer,,,,,,,,,,
6305852.0,jelly_fish,,,,,,,,,,
6305852.0,artificial_intelligence,,,,,,,,,,
6305852.0,god,,,,,,,,,,
6305852.0,virus,,,,,,,,,,
6305852.0,human,,,,,,,,,,
6305852.0,chimpanzee,,,,,,,,,,
6305852.0,robot,,,,,,,,,,
6305852.0,rock,,,,,,,,,,
6305852.0,autonomous_car,,,,,,,,,,
6305852.0,computer,,,,,,,,,,
6305834.0,jelly_fish,,,,,,,,,,
6305834.0,artificial_intelligence,,,,,,,,,,
6305834.0,god,,,,,,,,,,
6305834.0,virus,,,,,,,,,,
6305834.0,human,,,,,,,,,,
6305834.0,chimpanzee,,,,,,,,,,
6305834.0,robot,,,,,,,,,,
6305834.0,rock,,,,,,,,,,
6305834.0,autonomous_car,,,,,,,,,,
6305834.0,computer,,,,,,,,,,
6305856.0,jelly_fish,,,,,,,,,,
6305856.0,artificial_intelligence,,,,,,,,,,
6305856.0,god,,,,,,,,,,
6305856.0,virus,,,,,,,,,,
6305856.0,human,,,,,,,,,,
6305856.0,chimpanzee,,,,,,,,,,
6305856.0,robot,,,,,,,,,,
6305856.0,rock,,,,,,,,,,
6305856.0,autonomous_car,,,,,,,,,,
6305856.0,computer,,,,,,,,,,
6305850.0,jelly_fish,,,,,,,,,,
6305850.0,artificial_intelligence,,,,,,,,,,
6305850.0,god,,,,,,,,,,
6305850.0,virus,,,,,,,,,,
6305850.0,human,,,,,,,,,,
6305850.0,chimpanzee,,,,,,,,,,
6305850.0,robot,,,,,,,,,,
6305850.0,rock,,,,,,,,,,
6305850.0,autonomous_car,,,,,,,,,,
6305850.0,computer,,,,,,,,,,
6305854.0,jelly_fish,,,,,,,,,,
6305854.0,artificial_intelligence,,,,,,,,,,
6305854.0,god,,,,,,,,,,
6305854.0,virus,,,,,,,,,,
6305854.0,human,,,,,,,,,,
6305854.0,chimpanzee,,,,,,,,,,
6305854.0,robot,,,,,,,,,,
6305854.0,rock,,,,,,,,,,
6305854.0,autonomous_car,,,,,,,,,,
6305854.0,computer,,,,,,,,,,
6305858.0,jelly_fish,,,,,,,,,,
6305858.0,artificial_intelligence,,,,,,,,,,
6305858.0,god,,,,,,,,,,
6305858.0,virus,,,,,,,,,,
6305858.0,human,,,,,,,,,,
