Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1642616673003,19/01/2022 18:24:33,1642616672617,0,19/01/2022 18:24:32,70408,19,questionnaire-vssi,,18653520,611ae4c41ac95c70c7d2e67b,5521573,,complete,,61e85599223726ba66f865cf,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1600x900,1600x789,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616675726,19/01/2022 18:24:35,1642616675401,0,19/01/2022 18:24:35,70408,19,questionnaire-vssi,,18653520,611ae4c41ac95c70c7d2e67b,5521573,,complete,,61e85599223726ba66f865cf,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1600x900,1600x789,,goodbye,1,No,END QUESTIONNAIRE,2785
1,1642616734446,19/01/2022 18:25:34,1642616734333,2,19/01/2022 20:25:34,70408,19,questionnaire-vssi,,18653554,5fb4f660e7d1522e042020df,5521592,,complete,,61e8556358eb74e10ef700ed,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x754,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616736024,19/01/2022 18:25:36,1642616735971,2,19/01/2022 20:25:35,70408,19,questionnaire-vssi,,18653554,5fb4f660e7d1522e042020df,5521592,,complete,,61e8556358eb74e10ef700ed,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x754,,goodbye,1,No,END QUESTIONNAIRE,1639
1,1642616735430,19/01/2022 18:25:35,1642616734773,1,19/01/2022 19:25:34,70408,19,questionnaire-vssi,,18653555,5f20df2af5d0c24208c88315,5521608,,complete,,61e855f74cf1b5fcaf50aa3d,computer,Desktop or Laptop,Linux x86_64,Chrome 96.0.4664.92,640x360,980x429,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616738194,19/01/2022 18:25:38,1642616737603,1,19/01/2022 19:25:37,70408,19,questionnaire-vssi,,18653555,5f20df2af5d0c24208c88315,5521608,,complete,,61e855f74cf1b5fcaf50aa3d,computer,Desktop or Laptop,Linux x86_64,Chrome 96.0.4664.92,640x360,980x429,,goodbye,1,No,END QUESTIONNAIRE,2830
1,1642616737623,19/01/2022 18:25:37,1642616737468,-5,19/01/2022 13:25:37,70408,19,questionnaire-vssi,,18653557,60fca702ccf4e75d6baf1fc2,5521617,,complete,,61e8560f4f028f74e5d577a8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1440x900,1440x789,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616742236,19/01/2022 18:25:42,1642616741998,-5,19/01/2022 13:25:41,70408,19,questionnaire-vssi,,18653557,60fca702ccf4e75d6baf1fc2,5521617,,complete,,61e8560f4f028f74e5d577a8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1440x900,1440x789,,goodbye,1,No,END QUESTIONNAIRE,4530
1,1642616759288,19/01/2022 18:25:59,1642616757827,0,19/01/2022 18:25:57,70408,19,questionnaire-vssi,,18653579,5ed91f1e9c985546085a116f,5521566,,complete,,61e85580a5e3a77eb4e0121d,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1920x937,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616766638,19/01/2022 18:26:06,1642616765210,0,19/01/2022 18:26:05,70408,19,questionnaire-vssi,,18653579,5ed91f1e9c985546085a116f,5521566,,complete,,61e85580a5e3a77eb4e0121d,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1920x937,,goodbye,1,No,END QUESTIONNAIRE,7383
