Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1642616192657,19/01/2022 18:16:32,1642616192278,-7,19/01/2022 11:16:32,70408,19,questionnaire-hy6v,,18653174,613a639002c088d7e68b80a9,5521561,,complete,,61e8556af42386089beadfaf,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x657,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616222652,19/01/2022 18:17:02,1642616222282,-7,19/01/2022 11:17:02,70408,19,questionnaire-hy6v,,18653174,613a639002c088d7e68b80a9,5521561,,complete,,61e8556af42386089beadfaf,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1349x657,,Consent form,3,No,ConsentFlag,1
3,1642616222855,19/01/2022 18:17:02,1642616222284,-7,19/01/2022 11:17:02,70408,19,questionnaire-hy6v,,18653174,613a639002c088d7e68b80a9,5521561,,complete,,61e8556af42386089beadfaf,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1349x657,,Consent form,3,No,END QUESTIONNAIRE,30007
1,1642616193367,19/01/2022 18:16:33,1642616193069,-5,19/01/2022 13:16:33,70408,19,questionnaire-hy6v,,18653176,61088dc29d639b015d4cd918,5521563,,complete,,61e85576c0cdea440a1dca38,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1378x716,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616199877,19/01/2022 18:16:39,1642616199631,-5,19/01/2022 13:16:39,70408,19,questionnaire-hy6v,,18653176,61088dc29d639b015d4cd918,5521563,,complete,,61e85576c0cdea440a1dca38,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1378x716,,Consent form,3,No,ConsentFlag,1
3,1642616200042,19/01/2022 18:16:40,1642616199635,-5,19/01/2022 13:16:39,70408,19,questionnaire-hy6v,,18653176,61088dc29d639b015d4cd918,5521563,,complete,,61e85576c0cdea440a1dca38,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1378x716,,Consent form,3,No,END QUESTIONNAIRE,6567
1,1642616198274,19/01/2022 18:16:38,1642616196822,0,19/01/2022 18:16:36,70408,19,questionnaire-hy6v,,18653180,5ed91f1e9c985546085a116f,5521566,,complete,,61e85580a5e3a77eb4e0121d,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1920x937,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616225314,19/01/2022 18:17:05,1642616223882,0,19/01/2022 18:17:03,70408,19,questionnaire-hy6v,,18653180,5ed91f1e9c985546085a116f,5521566,,complete,,61e85580a5e3a77eb4e0121d,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1903x937,,Consent form,3,No,ConsentFlag,1
3,1642616225390,19/01/2022 18:17:05,1642616223883,0,19/01/2022 18:17:03,70408,19,questionnaire-hy6v,,18653180,5ed91f1e9c985546085a116f,5521566,,complete,,61e85580a5e3a77eb4e0121d,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1903x937,,Consent form,3,No,END QUESTIONNAIRE,27062
1,1642616218023,19/01/2022 18:16:58,1642616216231,0,19/01/2022 18:16:56,70408,19,questionnaire-hy6v,,18653201,601f3d6a08d6ec47b04ca28a,5521568,,complete,,61e8558affccd08026aa7c46,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x726,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616242015,19/01/2022 18:17:22,1642616240259,0,19/01/2022 18:17:20,70408,19,questionnaire-hy6v,,18653201,601f3d6a08d6ec47b04ca28a,5521568,,complete,,61e8558affccd08026aa7c46,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x726,,Consent form,3,No,ConsentFlag,1
3,1642616242140,19/01/2022 18:17:22,1642616240263,0,19/01/2022 18:17:20,70408,19,questionnaire-hy6v,,18653201,601f3d6a08d6ec47b04ca28a,5521568,,complete,,61e8558affccd08026aa7c46,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x726,,Consent form,3,No,END QUESTIONNAIRE,24032
