part_id,word,jelly_fish,robot,virus,chimpanzee,human,artificial_intelligence,god,rock,autonomous_car,computer
6136171.0,computer,2.0,2.0,-1.0,3.0,2.0,1.0,2.0,2.0,2.0,
6136148.0,jelly_fish,,1.0,2.0,1.0,3.0,2.0,3.0,-2.0,-2.0,-1.0
6136148.0,robot,-1.0,,1.0,3.0,3.0,3.0,3.0,-2.0,-2.0,-1.0
6136148.0,virus,-2.0,-1.0,,2.0,3.0,2.0,3.0,-3.0,-2.0,-2.0
6136148.0,chimpanzee,-1.0,-3.0,-2.0,,2.0,1.0,3.0,-3.0,-2.0,-2.0
6136148.0,human,-3.0,-3.0,-3.0,-2.0,,-3.0,3.0,-3.0,-3.0,-3.0
6136148.0,artificial_intelligence,-2.0,-3.0,-2.0,-1.0,3.0,,3.0,-3.0,-3.0,-3.0
6136148.0,god,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,,-3.0,-3.0,-3.0
6136148.0,rock,2.0,2.0,3.0,3.0,3.0,3.0,3.0,,1.0,1.0
6136148.0,autonomous_car,2.0,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,,-2.0
6136148.0,computer,1.0,1.0,2.0,2.0,3.0,3.0,3.0,-1.0,2.0,
6136168.0,jelly_fish,,-1.0,1.0,3.0,3.0,2.0,3.0,-3.0,-1.0,-1.0
6136168.0,robot,1.0,,-2.0,1.0,3.0,3.0,3.0,-3.0,-3.0,-2.0
6136168.0,virus,-1.0,2.0,,2.0,3.0,2.0,3.0,-2.0,3.0,1.0
6136168.0,chimpanzee,-3.0,-1.0,-2.0,,3.0,-1.0,3.0,-3.0,-3.0,-2.0
6136168.0,human,-3.0,-3.0,-3.0,-3.0,,-2.0,3.0,-3.0,-3.0,-3.0
6136168.0,artificial_intelligence,-2.0,-3.0,-2.0,1.0,2.0,,3.0,-3.0,-3.0,-3.0
6136168.0,god,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,,-3.0,-3.0,-3.0
6136168.0,rock,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,3.0,3.0
